aircraft,type_of_traveller,seat_type,route,seat_comfort,staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,title,reviews,rating,date_dt
a380,business,business class,lhr to sin,4,4,4,4,4,,5,yes,service was good,"the first class lounge at heathrow was reasonably quiet. great choice of beverages and champagne and selection of food. plenty of sitting options, light, magazines and newspapers. very impressed with champagne and the gin bars. after years of traveling with british airways still i have not managed to secure a treatment in the elemis spa even when i travel first (staff at the elemis reception rather rude). boarding on time and by priority. window seat in the last row of the club world cabin on the upper deck of a380 with aisle access. staff polite. the service was good. good selection of food and beverages and wines. wide range of entertainment. seat comfortable and private by using the divider. the amenity kit adequate. arrival was on time.",9,2015-08-01
boeing 777-200,family leisure,economy class,lhr to kul,2,4,3,3,5,,4,yes,cabin the biggest disappointment,"this was the first time we had traveled long haul with british airways. the ground staff at terminal 5 were helpful and friendly. the aircraft cabin was the biggest disappointment, it hadn't been updated since the plane entered service. the inflight entertainment screen was tiny and unclear, film selection was good. the food was okay and flight was on-time. if british airways are running a new plane on your route, its likely okay, but if it is one of their boeing 777's (old planes), i would consider other airlines.",6,2015-08-01
a320,solo leisure,economy class,hel to jnb via lhr,1,4,,,1,,1,no,failed to provide information,"our british airways flight from helsinki to london had issues with it's brakes so the departure was delaytd. original departure time was at 17.15, there were next info at 18.30, 19.00, 19.30 and 20.45. the captain gave us an announcement of situation at the gate around at 19.00. meal vouchers were give at 20.00 for those who were still at the gate. then after 21.00 an announcement to get luggage and hotel vouchers from the arrival hall. next information will be given next morning at 09.00, which later was postponed until 14.30. requests of rebookings were refused as the flight were not cancelled. they just said come to the airport early enough. british airways failed to provide information about eu passanger's rights as it had to be requested separately. lot of fellow passsengers were not aware of their rights. next afternoon local grond handling company only had regular number of check-in desks open even there were two flights cheking-in at the same time. so only three desks open and they were not able to start checking us in but requesting us to step aside for the same day flight passengers. great as we had only been waiting around 22hrs for our flights. finally our flight got new departure time which was at 17.30, later to changed 18.00. at the gate departure time came and went and no announcement were made. departure time were postponed until 18.30 with no announcement of reason for new delay. when requesting some futher information it was said it's the same reason as yesterday but we had been given a written statement saying this aircraft had been fixed. at 18.30 still no announcement and passengers get anxious about mimimal information given by aviator. then 20 min later british airways cancels this flight. now rebookings promised by next morning or then have to contact british airways directly. another hotel night at the airport hotel and we already knew how the procedure goes. next day rebooked for finnair flight to london and arriving london 45 hrs late and reaching the final destination about 46hrs late. the only positive aspect was cockpit and cabin crew effort to provide some information at the gate area at the beginning of whole ordeal.",1,2015-10-01
boeing 777-200,solo leisure,economy class,london to bangkok,4,4,3,3,3,,3,yes,a pleasant flight,"british airways 3-class boeing 777-200 is used on this flight to bangkok. i was seated in 26d which is a bulkhead seat on the aisle, behind the premium economy cabin. i like the fact that ba still have 3-3-3 seat layout on the b777 in economy while many airlines are using 3x4x3 lay out. i had plenty of legroom and on this particular flight i had the best sleep. meals were average, certainly not bad. cabin crew kind and professional. all in all a pleasant flight.",7,2015-04-01
boeing 777-200,couple leisure,premium economy,gla to bkk via lhr,3,4,4,2,4,1,3,yes,plane was really scruffy,"flew british airways from glasgow to bangkok via heathrow. gla to lhr flight great, clean plane, staff friendly. business lounge in glasgow was most enjoyable. heathrow to bangkok in premium economy (economy class looked very cramped), the plane was really scruffy and my foot rest stuck. british airways have let the standard slip on the smartness of the cabin interior - the curtain from businees to premium econemy was all ripped, very scruffy bad impression. excellent staff, food also good. flights on time. but british airways premium economy is not a patch on eva air. ba need to upgrade planes on this route or lose customers to the other carriers. even the staff uniforms looked washed out.",6,2015-10-01
a320,couple leisure,business class,fuereventura to lgw,4,5,5,,4,,5,yes,legroom could be better,"flew british airways from fuerteventura to gatwick in a refurbished a320, with the new style seats, having flown out earlier on a a319 with the old seating. nothing much to choose between the two, but slightly preferred the older style. not sure why they have the central seat converted to tray space and would prefer a wider seat and smaller tray space! legroom could also be better. both flights were comfortable and landed ahead of schedule. no lounge available at fuerteventura which is a shame. inflight service excellent, food for short-haul was good.  if only ba could have given us a couple of inches of extra legroom.",8,2015-10-01
boeing 747-400,couple leisure,economy class,dub to las via lhr,1,2,2,2,3,,3,yes,will now be considering other airlines,"flew dublin to las vegas via london heathrow, then returning miami to newcastle. i've been a staunch fan of british airways over the years but am starting to feel like they're not really that bothered about international economy passengers. service is just okay and certainly doesn't feel personable as it once used to, whereas domestically it is still good. british airways boeing 747's are old and feel and look that way too. food from the uk is not bad but from the usa is just inedible. they really need to sort this out. inflight entertainment is old in comparison to other airlines. i will be considering other airlines when i go to the usa now!",5,2015-10-01
boeing 747,family leisure,economy class,jersey to mia via london,1,4,1,1,3,,3,no,inflight entertainment is rubbish,"i'm starting to go with british airways less and less. i must warn you about ba's picky prices, which jump suddenly with no explainable reason. for example, an lax flight i was looking at went from £200 per person per way, to £450 per person per way, in just one day! my last trip with them (jersey to miami) wasn't very good. service at jersey airport and london gatwick airport was great, but the plane wasn't so good. the seats are quite uncomfortable, food is a bit disgusting, inflight entertainment is absolute rubbish, and the in are just outdated and need replacing/refurbishing. the worst part was as miami, where the 'express' bag drop only lane turned out to be slower than the check in and bag drop lane, and even that was slow. worse, the staff were rude and honestly couldn't care less. sad as this airline is meant to represent britain in a way.",4,2015-04-01
,couple leisure,economy class,yyz to fco via lhr,4,4,4,4,1,4,2,no,no passenger baggage arrived,"flew british airways from toronto to rome via london, and have no complaint with our flights or crew which were excellent. but when we arrived in rome, my opinion of british airways was formed. none of the passenger baggage arrived in rome and we were all left in the dark. when no baggage came down, we all got into the baggage handler lineup, avia, and wasted time filling out a form. we were given a phone number for british airways but it was out of service. calls to avia went unanswered. we finally went outto the airport, 2 days later, and found our baggage in an unsecured location. we werd never informed by british airways if and when we would receive our baggage. we did receive compensation for the clothing and toiletries we had to buy but not fod the expense of getting out to the airport. this has soured our opinion of british airways.",4,2015-09-01
boeing 777-300,business,first class,lhr to syd via sin,5,4,5,5,5,,5,yes,need help to get the service right,"i paid for myself to get a first upgrade for my return, as the british airways club world seats are not great for this long trip. the new first product is excellent. the service was greatthe seats comfortable, inflight entertainment very good, and the food was well presented, with a good choice of wines. i slept well, and actually enjoyed the journey - one i do very regularly on other carriers but chose ba this time for a change. bags were tagged as priority but in sydney they came out after about 120 other pieces of luggage, meaning i nearly missed my onward connection to melbourne. staff gossip in the galleys - it's a flimsy curtain and i don't want to hear about staff boyfriend troubles, holiday plans, or crew roster. cleanliness of the toilets is the responsibility of the staff to monitor, but in first the toilets are too cramped, and i ended up wiping the toilet floor myself with tissues and sanitary wipes because i didn't know what that liquid on the floor was. while safety and the journey are the most important things, it's these ""attention to detail"" items that make or break the service experience. ba ground crew, ticketing agents, cabin crew, pilots are commendable, but british airways needs to help them to get the service right.",7,2015-09-01
boeing 777-300,couple leisure,premium economy,dfw to lhr,3,4,4,3,3,3,2,no,you could care less,"we paid for world traveller plus (premium economy) for our british airways flight to london. aircraft was a boeing 777, excellent plane. cabin crew, very efficient and friendly. seats and legroom, very good. what i find lacking to make world traveller plus worth the money is no priority check-in or security, no priority boarding for wtp passengers. in fact wtp passengers were the very last to board? even united, delta and american offer priority check-in and boarding. i contacted british airways to inquire why and the reply was the usual corporate speak ""we're very sorry you were disappointed, blah,blah,blah."" okay british airways, you could care less.",2,2015-09-01
,family leisure,economy class,,1,1,1,1,1,1,1,no,fawlty towers of customer service,"my issue is the very poor british airways customer relations service you receive once there is an issue, it is only then you see what ba really is. following a dreadful experience trying to sort out a weekend in paris i decided to complain to british airways customer relations, that was the start of a nightmare and frustrating experience. ba customer service is like the fawlty towers of customer services! i have tried many times ringing, longest on hold before i hung up was 2hrs,  fastest through 45 mins. they only want to get you off the phone as quick as they can and keep apologising that they are so busy! i have emailed them and had 5 generic emails back no resolution, worst is they are from 5 different people who clearly have not read the notes from previous emails, i have had two phone calls following tweets - all they tried to do was sell me something and had no idea that i was trying to complain. they said they would get customer services to call me, but guess what, no call!",1,2015-02-01
boeing 747-400,couple leisure,economy class,cape town to london,4,4,4,4,5,,4,yes,seamless and effortless,"as always, the whole ba experience from website to landing was seamless and effortless. this is my preferred airline for long as well as short haul flights as i've had many happy miles under the belt with ba. the website is extremely easy to use so a positive experience from the start. cabin crew always friendly and helpful and food good. i am a vegetarian so can not comment on the normal food served. planes on the cape town route a bit dated now but does the job well. well done for being a star airline. looking forward to many more hours in the air with ba.",9,2015-10-01
a380,business,business class,hkg to lhr,3,3,4,4,4,,3,yes,"new plane, tired old seat design","the a380 is a splendid aircraft with a great passenger experience. i chose to fly mel-lhr via hkg so i could try british airways  new a380. i was so disappointed to see that they have used the old ""backwards / forwards"" layout for club world on this new aircraft type. i remember using this seat type back in 2002, but it is now tired and lacklustre when compared to other airlines. a brand new plane, and tired old seat design. it felt as though we were being packed in so that british airways can max out the revenue. the whole thing was a bit claustrophobic. the service was okay but not outstanding, the food was good and the wine choice excellent. ground crew in hkg were pretty average, but in london were helpful.",6,2015-09-01
a320 / boeing 787,business,premium economy,dus to phl via lhr,5,3,5,5,3,,4,no,airline with very mixed quality,"british airways is an airline with a very mixed quality. i am flying it very often and i think that quality is decreasing over the last few months.  whereas lounges are great and the staff is almost nice, the flight attendants sometimes are unfriendly. on this flight one flight attendant hit me twice with his cabin trolley and did not even excuse himself. the aircraft and the seats in premium economy are quite good including food and drinks.  but the worst with ba is customer support and help with problems. on my outbound flight from phl to lhr i had a problem with reserving a seat. although it was shown as free in the map (no bassinet!) i was not able to select it. first time calling the customer support i was told this is a technical error. second time the lady told me that this is not bookable as this is next to a bassinet. then one day later is was reserved. i called again and they told me that i was too late. any hint on my two other calls was answered with ""that's your problem. you have a seat what is the problem?"". i mean at least she is right but the attitude is extremely bad and maybe there is a reason why i want to have this seat. my email with a complaint on this wasn't answered till today excet for the automated we will answer asap. if british airways continue with that customer service i might change shortly.",6,2015-09-01
boeing 747-400,solo leisure,business class,las to lhr,3,5,5,2,4,,3,yes,food choice was great,"i use the las vegas to london heathrow route as my primary choice getting to europe. flight was on time, british airways cabin staff provided excellent customer service. food choice was great. past reviews are on mark about the inflight entertainment needing an update.",8,2015-09-01
a320,solo leisure,economy class,heathrow to manchester,3,1,1,,3,,1,no,brusque drinks service,"british airways from heathrow to manchester - ok it's only a 35 min flight but about a one hour delay with no explanation before take off and no apology from the flight deck. i booked a seat near the front and was moved to the very back row 'because of a change of aircraft'. there i could hear every word of conversation from the young cabin crew in the galley. and not all things the passengers should be hearing. torn uniform on female attendant, brusque drinks service from male steward who gave the impression that the job is a bit beneath him. waiting ages for the plane to empty so i could get off. crew not helping anyone and no eye contact for the dismal goodbye on getting off.",3,2015-10-01
,couple leisure,economy class,london to toronto,4,3,2,4,3,,2,no,our luggage left at heathrow,"first and last time travelling with british airways. the flight outw was reasonable, although they are sadly lacking in comparison to other airlines. my first question is does anybody from british airways actually read these comments? if they do how can they go on providing a service that is so bad? we arrived in toronto on 9th september to be told our luggage had been left at heathrow along with 80 other bags. they were well prepared at toronto to deal with us having been forwarned of the problem - after filling in the relevant forms we were informed that our bags would be with us in 24 hours, nut it was 2.5 days later when we were finally reunited with them. british airways should investiage the company they use in toronto as they were extremely rude when we telephone to enquire when they thought the bags would be delivered, even hanging up on the hotel manager who tried to help us. only after my husband asked where they were and said he would collect the bags himself did we get an answer, and then it took until 9.00 p.m. on the friday to be delivered. the final straw was having paid extra for two seats together by the window on the return journey, we found out upon checking in that we could not have these seats and we had to sit in a row of 4 - not a problem normally. but it had cost £90.00 extra to book these seats, and not one of the staff was interested, just a take or leave it attitude.",3,2015-09-01
boeing 747-400,business,economy class,lhr to sfo,1,3,3,1,1,,1,no,boeing 747 horribly outdated,"london heathrow to san francisco with british airways and unimpressed. checked in online but had a bag to drop: i was issued with a fresh boarding pass at the airport, and was there plenty early enough. everything seemed normal until i reached the gate for boarding - the scanner at the final checkpoint reported ""not checked in"". after a 5 minute or so wait, i was allowed to board, but moved to a different seat (i was told this was the final one, but not given any explanation as to why). once on the plane, i was asked to move to what turned out to be my original seat. i filled in bas feedback form about this and asked what was going on, but they were apparently receiving a high volume of complaints and never responded. in the circumstances, i think i'll stick with more reliable airlines from now on. the flight itself was delayed by a 1/2 hour while they waited for ""more passengers"". the flight itself was uneventful, and the meals and service okay for economy. having said that, the boeing 747 is horribly outdated, and the ife system repeatedly failed and had to be rebooted.",2,2015-09-01
,family leisure,business class,lhr to chicago o'hare,4,2,1,1,4,2,4,yes,very disappointed in british airways,"i'm not one for publishing reviews but following discussions of flight problems, have just heard of skytrax. i have lost track of the numbers of flights i've taken over the years, on business in europe and on holiday worldwide. with family in the us, regular flights have almost exclusively till now been with british airways: some economy, some wtp, more recently in business. service, value etc has to now ranged from acceptable to good, occasionally excellent. shame things seem to have changed. for our annual trip last december i booked my 7-year old daughter and myself on british airways lhr to chicago, returning from washington dulles to lhr. both flights in business class. booking process online reasonably good, with helpful assistance from a ""real person"" when there was a problem - which happened 3 times in the months before departure. no common sense used when flights are cancelled and ""suitable alternatives"" booked, when seats had been pre-purchased, when clearly travelling with a child. check-in and departure were smooth. travel in economy means that they feed children first. travel in business and they serve children serve after the adults.  the ""child meal"" (when it eventually arrived) was a disgrace, i wouldn't feed it to an animal! peas blackened, mash dried and crusty. not surprisingly she didn't want it. ended up eating my meal. entertainment screen (essential for children and part of the treat of the journey) didn't work, so we swopped seats - so no entertainment screen for mummy! thank goodness i had my kindle. no apologies from staff. more interested in the male business travellers. return flight after christmas from  washington dulles to lhr was slightly better. evening meal available in lounge prior to boarding - providing you're an adult. again nothing for children except some biscuits. if i'm willing to pay british airways business class fares for myself and my daughter, i expect better service than this. very disappointed. will i fly ba again? yes, but grudgingly and once the airmiles are used up who knows?",4,2014-12-01
,business,business class,nairobi to london,3,4,4,3,4,,3,no,disgraceful level of cleanliness,"nairobi to london with british airways. the service was good, except that they gave given up on collecting jackets. seat is getting tired - bits coming off. disgraceful level of cleanliness - between the seat and the side of the cabin was a very old accumulation of fluff, mouldy peanuts, crumbs, an old sandwich wrapper and a mini mars bar (very old). felt sick. given this was highlighted in the press recently - it must be that british airways really does not care.",5,2015-09-01
a320 and a319,solo leisure,economy class,lgw to alicante,4,5,4,,3,,5,yes,staff were great,"outward on the 06.30 flight 7th september - good all the way. snack was fine, coffee nice. staff were great. checked in on ine but long queue for bag drop - ba need to improve this. security again a long queue but that is reflective of the troubled times we live in i fear. return on 16.35 flight 22nd september - everything fine except seat 11b in permanent recline (didn't realise it until i got told about it prior to landing so apologised to lady behind me). sandwich and red wine were nice. considering i booked early and got a great price, i have no complaints. flight deck information good both ways.",9,2015-09-01
boeing 747-400,solo leisure,economy class,phoenix to heathrow,1,4,1,2,3,,2,no,seats are far too cramped,"i recently travelled british airways from phoenix to london heathrow. this is my 3rd time i have flown this route onboard one of the boeing 747-400 and i must say british airways have got to either fully upgrade their b747 fleet or retire the aircraft. the seats are far too cramped and not comfortable, the in flight entertainment had to be rebooted several times as they stopped working or didn't work at all, the heat in the cabin was unbearable at times and very uncomfortable. the only plus points were crew who were very attentiveand willing to help and the food wasn't too bad. i am aware that around 18 boeing 747's are getting refitted but by the look of it unfortunately the b747 on the phoenix route is not, and for me as the route i travel, causes me concern and has me wondering if i will travel with ba again.  not everyone can afford to fly business or first but that doesn't mean that we give up on the right to have a little space to move, seats that don't feel like they are going to cripple you, have an entertainment system that works and has a better selection of movies/tv shows/music. other airlines such as emirates have a fabulous system even in economy so why can't british airways use the same type of technology. if ba want to compete, please do something about it.",3,2015-09-01
a319,family leisure,economy class,lgw to alc,4,4,4,,4,,4,yes,crew were friendly and attentive,"check-in for my british airways flight at gatwics north terminal with no queue and staff friendly and chatty. boarding was quick. the a319 had not yet been fitted with the new seats, but they were still comfortable and moderately spacious. the cabin crew were friendly and attentive. the return journey was also quite good, except the flight was change to a 01:10 departure instead of 23:40 so it meant that nearly most shops (except duty free) at alicante were closed. also it meant that the flight arrived back into gatwick at 02:40 which wasn't very pleasant as we had to then drive another hour and a half home. british airways gatwick operation is quite good and punctual not like heathrow.",8,2015-08-01
boeing 747-400,couple leisure,economy class,london to johannesburg,1,3,1,2,1,,1,no,clapped-out aircraft,"these british airways flights were undoubtedly the worst we've ever had to south africa in ten years of travelling there. the seats were narrow, lumpy and incredibly uncomfortable especially for a long haul journey. i thought initially that we were unlucky and got broken or faulty seats on our outward journey, but they were just as bad on the return journey. to add insult to injury, we'd selected and paid for seats of our preference, but when we got to the airport for our return journey we were told the seats were gone, and simply told we would have to apply for a refund. the worst aspect of the flight however, was the heat. the aircraft was oppressively hot and stuffy for hours on the way from johannesburg to london. many passengers complained but the crew could apparently do nothing because the air conditioning system appeared too old to regulate the temperature. also the entertainment system had to be switched off and rebooted several times because many passengers' consoles were not working. there were passengers who had to do without entertainment for the entire 10 hour flight. these aircraft are not fit for flying and should have been retired a decade ago. pity the poor crew who have to work on these clapped-out aircraft every day. we've been travelling to south africa several times a year for the past decade and this was our first time travelling with british airways. clearly it will also be our last. avoid british airways or their boeing 747-400s at all costs.",1,2015-09-01
a320,business,economy class,vie to lhr,4,4,4,,5,,4,yes,pretty much a low-cost airline,"vienna to london heathrow return in september 2015, both flights in economy on an a320. crew pleasant but not doing more than absolutely required. a snack and drinks were served on both legs. this time the sandwich consisted of a mini pastrami and cheese sandwich and a mini black currant bun. edible, but not ba´s best sandwich offering.  additional drinks were served on request. both legs featured the new slim seats in the cabin with reduced legroom. while the seat are slightly better than the recaro slim seats, i miss the older more comfortable seats with better leg room. i did not really realize that ba has changed the rules recently and travelling only with hand baggage now also means that one is no longer allowed to pick a seat during check-in, but a seat is randomly allocated. selecting any seat (even a middle seat in the back of plane now costs eur 18). also, if one later decides to check a piece of luggage the costs are a whopping eur75 at the airport or eur35 on line.  the final fare with ba can be substantially higher than the initial price quote - the additional charges are displayed during the booking process and if one commits to checking luggage during the booking process, the charges are lower. with the exception of a free drink and sandwich, british airways economy product is now pretty much a low-cost airline product. being oneworld sapphire does not help either. no privileges here; still the same charges for seat selection and checking luggage. while vie-lhr was on time, the return lhr-vie leg was delayed for one hour. after a timely boarding the full plane was waiting for the departure, but then the flight deck announced that they are waiting for some cargo to be loaded and they missed their assigned slot, which meant waiting an hour for a new slot. so, basically ba inconvenienced a whole plane of passengers to load some delayed cargo. flying with hand baggage only, i used web check-in for both flights which worked fine. boarding procedures were unremarkable and pleasant. ba uses a shared lounge in vie. the lounge as such is acceptable (small and mostly packed), but far from great with limited and lower quality offerings. the selection seems to be more or less the same in all lounges in vie. ba galleries lounge in lhr t3 a comfortable oasis amid a busy airport and food and drinks selection was better than vie. wine selection was nice. ba still uses t3 for its flights to vie, which i consider a huge benefit over using t5, which tends to be a mess for passengers. while i stopped flying british airways business in europe they ba changed business seating to economy seats with no additional legroom, i see no valid reason to pay any surcharge for this product, but i still consider ba one of the better options for economy flights in europe. however their new low-cost airline concept also means that the times when i was willing to pay higher prices just for flying with ba over easyjet or austrian on this route are unfortunately over.",6,2015-09-01
,couple leisure,economy class,,1,3,1,1,4,2,2,no,seats were extremely small,"the british airways seats were extremely small, uncomfortable and did not operate properly. in order to recline the seat or return it to the upright position you had to do it manually. the bathrooms throughout the plane were dirty and smelly from the minute we boarded. the meals british airways served were abysmal. on the way home from london to the u.s. passengers had the choice of a chicken curry dish with saffron rice or the vegetarian option. the smell of curry makes me nauseated so i opted for the vegetarian dish. i was served greasy, overly seasoned pasta soaked in oil and covered with a soggy bread crumb topping. it was inedible. my partner received the chicken curry dish which was small, fatty pieces of chicken overly seasoned and soaked oil. the dishes served are poorly chosen for the general population of people who fly british airways. the food should be clean, fresh food not covered in grease and oil and not overly seasoned. the portions are too small and the dessert items chosen are also odd and not appealing to people. it appears british airways will serve just about anything so they can keep the food prices down and the profits up.",5,2015-09-01
,couple leisure,economy class,denver to london,1,2,3,2,3,,2,no,a smile would go a long way,"denver to london with british airways. we were allocated rubbish seats near the toilets. the seats would recline but would creep forward during the night which bent the jack in my headphones.  lately we've found the aircraft are tired and in much need of an update. poor quality screens - very small seats. not much bigger than a short haul flight. find the air hostess / stewards are often quite bored and provide a no thrills service. there's not much wrong with them per se, but a smile would go a long way. we now specifically look for other airlines to fly with as we've had enough of british airways for long haul flights.",4,2015-08-01
,solo leisure,business class,heathrow to munich,4,1,3,,4,,1,no,made to feel a huge inconvenience,"heathrow to munich return with british airways. i have never published a negative review of anything ever before, i work in the service industry and have several friends who are cabin crew. i am not a demanding passenger, i rarely request anything unless invited to do so and i rarely request anything other than water. however my first experience of british airways business class was let down by crew serving me. the female cabin attendant on my return flight could not have been nicer, but the male attendant on my flight out was noticeably dismissive of me as a female passenger. to the men sitting near me he was chatty and offering them extra drinks etc. i was made to feel like a huge inconvenience. such a shame and it has made me reconsider whether the extra cost is worthwhile.",5,2015-09-01
boeing 747-400,family leisure,economy class,phoenix to heathrow,1,2,1,1,2,2,1,no,never fly british airways again,"have flown previously in british airways business class. flew in world traveler economy class on this trip, with adult children on their first flight to england. loading was chaotic. seated middle four seat section, row 49. no air conditioning in cabin. several of us complained about heat and lack of air flow. did not get answer from stewardess until an hour into the flight. took 3 hours before air conditioning kicked in. no room under the seat to store handbag. seats appear to be smaller. when person in row in front of me reclined, i had minimal room to move or to access my purse. little attention from cabin attendants. told them i was getting dizzy from lack of cool air, and they allowed me to move to seat in galley where air was cooler from business class seats. food served was terrible. no advance menu to choose from. no individual lighting or air. i thought it was my worst experience until immigration 2.5 hour wait in line to clear immigration / customs. our prepaid taxi waited 90 minutes and then left. horrible experience. the return flight was worse. delayed 1.5 hours on the ground due to no air conditioning in coach seating again, though first and business had it. they brought us water in the last 30 minutes. will never fly british airways again.",1,2015-09-01
a320,solo leisure,business class,lgw to ssh ,3,5,4,,5,,3,yes,fare paid very similar to easyjet,"a very pleasant experience apart from the so called fast track lane that took 20 minutes. the business class lounge was very nice with a great choice of drinks and snacks for early morning departure. as a regular on the gatwick to sharm el sheikh route it was a breath of fresh air to have the option of a full service airline and oneworld member. the business class seats are the same as economy class on the a320 but the middle seat blocked off worked for me, and the fare paid was very similar to easyjet flexi rates. excellent service from take-off to landing.",8,2015-09-01
a320,solo leisure,business class,ssh to lgw,1,5,4,,1,,3,yes,pre-boarding not a premium product,"sharm el sheikh to gatwick. i checked in at british airways business class counter and the agent was unprofessional and unwelcoming. all my questions involved him having to ask a colleague in the adjacent economy class check-in. i asked staff where the lounge access was located and was abruptly told there was no lounge access - despite ba stating on their website that business class passengers have access to the royal jordanian lounge (which i saw no sign of) so i had to use the general and expensive ssh airport facilities. boarding was absolute mayhem with no separate call for business class or oneworld members to board first. so i jumped on the bus to be called off and told the check-in agent had booked me in economy class row 8d, which was listed as business class at on-line check-in. after a wait of 10 minutes, a new boarding bass was issued for seat 1c, and the aircraft bus had to be called back to pick me up. onboard things did improve and chatted with friendly crew. however the pre-boarding did not represent a premium product.",4,2015-09-01
a320,family leisure,economy class,lhr to gib,4,5,1,,3,,4,yes,we were pleasantly surprised,"first time to experince british airways new shorthaul cabin on a flight from heathrow to gibraltar, and we were pleasantly surprised. i am 6'1 and found the leg room in the aisle seat to be fine. the seat was generally comfortable (though lumbar would be nice!), brown leather looks good and new lighting calming. overall very good. i did look at the business class seats which are basically the same as economy, so will probably not fly business with ba shorthaul again, but will stay with economy. the staff were very professional and pleasant. you may however want to take your own packed lunch as the morsels given are not good.",8,2015-09-01
boeing 747-400,business,business class,lhr to dxb,4,3,5,3,4,,3,yes,cabin crew tend to forget you,"british airways boeing 747-400 was a bit long in the tooth, with old style club world seat, old video system, audio jack loose and needed constant fiddling to keep sound coming through both ears. the isolation of the window seat in ba club world is a double-edged sword : privacy is great but cabin crew tend to forget you - on this flight, i did not receive a hot towel or an offer of a second drink, though everyone else around me did. all said and done, the flight was on time, food and wine were good, and i was pretty comfortable.",7,2015-09-01
a320,business,business class,stockholm to london,2,3,4,,5,,3,yes,"compared with old seats, not very comfortable","early morning flight from stockholm to heathrow on sep 20th. sat in the first row which had a little bit more legroom, but compared with the older club europe seats, not very comfortable. the purser seemed to have had a relly bad night sleep in stockholm being really rude and unfriendly to customers, but laughing loudly with his fellow fa's. he kept on slamming the doors in the galley loudly throughout the flight. my friend who flew business class for first time was shocked. fortunately our late evening return flight was a totally different story with an extremely attentive male purser who was there all the flight.",6,2015-09-01
,family leisure,economy class,london to seattle,4,3,1,3,4,,4,no,they did not have my vegetarian meal,"london to seattle with british airways, and i was very disappointed when dinner was being served, and to my surprise they did not have my vegetarian meal onboard - but somehow they gave to others! although i requested my special meal when i booked my flight (return) at least 5 months earlier as well as checking in online. in the end i sat while everyone else ate around me! this was a long flight, couldn't sleep and remained hungry so i didn't enjoy the experience.",4,2015-08-01
boeing 777,couple leisure,business class,syd to sin,4,4,4,4,4,,5,yes,british airways customer review,"i had not flown british airways business class for years. sydney to singapore was a reward flight and i probably wouldn't pay as much as other airlines for this product, but if it was cheaper than competitors i would pick it. seats a bit narrow but otherwise acceptable and i like the fact you can slide the table away and get out easily. service was top notch and very surprised, had an excellent stewardess in our area. meal service with two salads and some nice bread along with a decent main. small snack before landing - i always feel that a bigger option should be provided on a 7 hour flight, since it is too small for you not to have to eat again when you arrive. ife had a good selection and worked fine. i like the way they have set out the club world cabin - it is a bit different and although crowded it is calm and professional. obviously the seats do not compare to the best out there. if they were materially cheaper than say singapore airlines or emirates then i would take it. if they want to charge a similar price then obviously the product is not the same quality.",7,2015-05-01
boeing 777,business,business class,hnd to lhr,2,2,1,2,3,,2,no,lose some of their arrogant approach,"tokyo haneda to heathrow in club world with british airways.  my trip was on an old boeing 777, and apart from the old product, i could not believe the dirt and wear in this cabin. crumbs and mess around the bottom and edges of the seat, grubby marks that i presume even the japanese cleaners could not remove. the toilet i used remained dirty throughout the flight. the meal service has been much debated, and is served (rather pushed at you) on a cheap economy style format, and quality is on a par with jal economy class i used in august. i'm british and like to support ba, but the honest fact is that ba have slipped right down against from the competition. my journey out was from frankfurt on lufthansa, an airline i probably wouldn't have used a few years ago, but their business class standards are so much higher. ba cabin staff should go to lufthansa for some training, and maybe they could lose some of their arrogant approach.",3,2015-09-01
boeing 747-400,solo leisure,business class,vancouver to london,3,4,3,1,4,,2,no,product and service is so old and tired,"a 3 hour delay but notified by text earlier in the day so no waiting around. the problem is that british airways business class club world product and service is so old and tired that it is just very poor value and quality. the inflight entertainment is constantly faulty and breaking - they had to keep resetting it (this has happened on the last two ba club flights i have been on), the seats are tired, it was not very clean - the lockers by the windows on the upper deck were dirty and falling apart. the food was quite good except the dessert was awful - they always seem to serve the same lemon dessert on this leg. the crew were pleasant, but the planes are too old and tired now to make this an attractive option. i look to avoid british airways when i can for business class.",3,2015-09-01
a320,solo leisure,economy class,barcelona to london heathrow,4,4,3,,4,,5,yes,for just £39 was a bargain,"barcelona to london heathrow and late again! british airways really need to sort out their schedules. i can always guarantee a late out of foreign terminal, but early or on-time when flying outbound. lateness is normally due to baggage or missing person or someone who has not turned up to travel. the food service is still complimentary thank goodness. you get a twin pack of a roll and currant bun on the barcelona route - better than a huge panini they used to serve. drinks service is extremely limited as always, one serving only of tea/coffee. for the price, using a schedule service into london heathrow and complimentary light snack for just £39 was a bargain!",8,2015-09-01
,couple leisure,economy class,st kitts to gatwick via antigua,1,1,,,1,,1,no,british airways could not care less,"my son and his fiance travelled to st kitts to get married. they spent ten days on their wedding-moon. when it was time to return they were unable to check in online. the website offered a phone number to call and there was no answer. they tried for three hours. they finally called me in the uk and i called british airways. i was told that because i did not buy the tickets with my credit card, they couldn't help me. i was given another number to call. the second person i spoke to managed to resolve the problem that was preventing online check in, which meant that it was then possible. however, so much time had passed sorting this mess out that by the time we got into the system most of the seats were allocated and my son and his new bride could not sit next to one another for this long haul flight. when they tried to upgrade they were told it would be $1000us each. british airways could not care less.",1,2015-09-01
